"No.","Time","Source","Destination","Protocol","Length","Info"
"133","2.264232368","192.168.100.12","192.168.100.10","TCP","66","36570  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=412255460 TSecr=4011348264"
"134","2.264258133","192.168.100.10","192.168.100.12","TCP","66","7777  >  36570 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=4011348266 TSecr=412255460"
"135","2.265446979","192.168.100.10","192.168.100.12","TCP","71","7777  >  36570 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=5 TSval=4011348267 TSecr=412255460"
"136","2.265664265","192.168.100.10","192.168.100.12","TCP","66","7777  >  36570 [FIN, ACK] Seq=6 Ack=26 Win=65536 Len=0 TSval=4011348267 TSecr=412255460"
"137","2.265800640","192.168.100.11","192.168.100.10","TCP","74","33060  >  7777 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2230217467 TSecr=0 WS=128"
"138","2.265840730","192.168.100.10","192.168.100.11","TCP","74","7777  >  33060 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3054226123 TSecr=2230217467 WS=512"
"139","2.266139980","192.168.100.12","192.168.100.10","TCP","66","36570  >  7777 [ACK] Seq=26 Ack=6 Win=64256 Len=0 TSval=412255462 TSecr=4011348267"
"140","2.266140195","192.168.100.12","192.168.100.10","TCP","66","36570  >  7777 [ACK] Seq=26 Ack=7 Win=64256 Len=0 TSval=412255462 TSecr=4011348267"
"141","2.266729655","192.168.100.11","192.168.100.10","TCP","66","33060  >  7777 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2230217468 TSecr=3054226123"
"142","2.267240820","192.168.100.11","192.168.100.10","TCP","90","33060  >  7777 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=24 TSval=2230217468 TSecr=3054226123"
"143","2.267266918","192.168.100.10","192.168.100.11","TCP","66","7777  >  33060 [ACK] Seq=1 Ack=25 Win=65536 Len=0 TSval=3054226125 TSecr=2230217468"
"144","2.267351468","192.168.100.11","192.168.100.10","TCP","66","33060  >  7777 [FIN, ACK] Seq=25 Ack=1 Win=64256 Len=0 TSval=2230217469 TSecr=3054226123"
"145","2.267693379","192.168.100.10","192.168.100.11","TCP","74","7777  >  33060 [PSH, ACK] Seq=1 Ack=26 Win=65536 Len=8 TSval=3054226125 TSecr=2230217469"
"146","2.268012440","192.168.100.10","192.168.100.11","TCP","66","7777  >  33060 [FIN, ACK] Seq=9 Ack=26 Win=65536 Len=0 TSval=3054226126 TSecr=2230217469"
"147","2.268212874","192.168.100.11","192.168.100.10","TCP","66","33060  >  7777 [ACK] Seq=26 Ack=9 Win=64256 Len=0 TSval=2230217470 TSecr=3054226125"
"148","2.268991972","192.168.100.11","192.168.100.10","TCP","66","33060  >  7777 [ACK] Seq=26 Ack=10 Win=64256 Len=0 TSval=2230217470 TSecr=3054226126"
"149","2.364269378","VMware_48:a5:6d","Broadcast","ARP","60","Who has 192.168.100.14? Tell 192.168.100.12"
"150","2.364307462","VMware_ed:58:af","VMware_48:a5:6d","ARP","60","192.168.100.14 is at 00:0c:29:ed:58:af"
"151","2.374351492","192.168.100.12","192.168.100.14","TCP","60","61547  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"152","2.374351691","192.168.100.12","192.168.100.14","TCP","60","61547  >  443 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"153","2.374351717","192.168.100.12","192.168.100.14","TCP","60","61547  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"154","2.374351743","192.168.100.12","192.168.100.14","TCP","60","61547  >  21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"155","2.374351769","192.168.100.12","192.168.100.14","TCP","60","61547  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"156","2.374351795","192.168.100.12","192.168.100.14","TCP","60","61547  >  3306 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"157","2.374649207","192.168.100.14","192.168.100.12","TCP","60","22  >  61547 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"158","2.374649410","192.168.100.14","192.168.100.12","TCP","60","443  >  61547 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
